name,lat,lon
Blk 40,1.3206756,103.9402032
Opposite Panasonic,1.3213492,103.9276248
Opposite Nafa Campus 3,1.3010436,103.852202
Before Bencoolen Station Exit A,1.2996645,103.8510582
Ibis Singapore On Bencoolen,1.3015435,103.8526305
Opposite Boon Keng Station,1.3186378,103.8640462
Before Lavender Street,1.3152049,103.8613823
Blk 44,1.3221347,103.8663517
MOM Services Centre,1.3261789,103.8683529
Blk 54,1.324187,103.8676359
Keppel Logistics,1.3190081,103.6791479
After Gul Avenue,1.3169519,103.6786756
Before Pioneer Road,1.3111045,103.6787978
Opposite JP Nelson,1.3068564,103.6758203
Before Benoi Lane,1.3040258,103.6761626
Street Marine,1.303812,103.6792932
Before Benoi Basin,1.3016958,103.6795743
Keppel Shipyard,1.3017956,103.6774878
After Benoi Place,1.3128007,103.6788749
Opposite Gul Avenue,1.3143917,103.6789405
Before Benoi Place,1.3130394,103.6785969
After Pioneer Road,1.3064768,103.6789708
Opposite Keppel Logistics,1.3190893,103.6787653
Before Joo Koon Interchange,1.3253664,103.6790354
Opposite Joo Koon Interchange,1.3264889,103.6793954
Tru-Marine,1.3182128,103.6886141
Opposite Shimano Private Limited,1.31967,103.6862614
Before Benoi Road,1.3195409,103.680222
After Benoi Road,1.3196675,103.6809107
Opposite Singapore Trspt Private Limited,1.3196758,103.6835888
After Shimano Private Limited,1.3195011,103.6858011
Singapore Trspt Private Limited,1.3195076,103.683102
Mapletree Logistics Hub,1.3178907,103.6892696
After Medway Drive,1.365962,103.861967
Opposite Bloxhome Drive,1.3641263,103.8610438
Opposite Brockhampton Drive,1.3620494,103.8596391
Bishan Park,1.3585526,103.851005
Opposite Raffles Institute,1.3470653,103.8471305
Opposite Bishan Station,1.3509591,103.8476142
Raffles Institute,1.3460636,103.8465656
Bishan Station,1.350848,103.847931
Opposite Blk 217,1.3561641,103.8499716
Blk 210,1.3553685,103.8490933
Opposite Bishan Park,1.3583778,103.851304
Blk 501,1.3482348,103.8492553
Blk 125,1.3468127,103.8519635
Blk 115,1.3481666,103.8485321
Opposite Blk 125,1.3471498,103.8519528
Guangyang Secondary School,1.3453717,103.8505541
Blk 131,1.3453536,103.8512275
Opposite Guangyang Primary School,1.3463897,103.8497949
Blk 169,1.346677,103.8543034
Zion Bible Presbyterian Church,1.3472005,103.8545925
Kuo Chuan Presbyterian School,1.3496721,103.8539341
Opposite Kuo Chuan Presbyterian School,1.3493313,103.8539325
Bishan Interchange,1.3501094,103.8497385
Opposite Bishan Stadium,1.3528588,103.8517919
Bishan Stadium,1.3533529,103.8511187
Opposite Raffles Institute,1.3484745,103.8451748
Raffles Institute,1.348611,103.845924
Opposite Bosch,1.3468413,103.8416213
